nohup: no se tendrá en cuenta la entrada
[22:56:23] (INFO) Dispositivo: cuda
[22:56:23] (INFO) Cargando datos desde em_caribe_20251201_20251231.parquet
[22:56:23] (INFO) Registros cargados: 16,368
[22:56:23] (INFO) Estaciones excluidas: ['0025025380', '0025025030', '0025025190', '0015015100'] (2,976 registros eliminados)
[22:56:23] (INFO) Numero de estaciones: 18
[22:56:23] (INFO) Proyectando coordenadas a cartesianas
[22:56:23] (INFO) Reestructurando datos para 18 estaciones
[22:56:23] (INFO) Filtrando 31 dias con intervalo 1
[22:56:23] (INFO) Aplicando correccion de presion ISA a nivel del mar
[22:56:23] (INFO) Preprocesamiento completado
[22:56:23] (INFO) Escalas: L=405198.17 m, W=10.80 m/s, P0=100972.78 Pa, Re=316,767,061,879
[22:56:23] (INFO) Centrando y normalizando datos de estaciones
[22:56:23] (INFO) Normalizacion completada
[22:56:23] (INFO) Construyendo malla PINN con R=0.4 grados
[22:56:23] (INFO) Malla: 44 puntos espaciales x 744 timesteps = 32,736 total
[22:56:23] (INFO) Modelo PINN: 15,890,409 parametros
[22:56:23] (INFO) Dispositivo: cuda
[22:56:23] (INFO) Epocas: 2,000, LR: 1.0e-04, Lambda max: 3.0
[22:56:23] (INFO) Curriculum: 0 solo datos, 0 rampa, 2000 lambda completo
[22:56:23] (INFO) P_scale (reescalado presion): 1.0000
[22:56:23] (INFO) Registros estaciones: 13,265
[22:56:23] (INFO) Registros colocacion: 32,736
[22:56:23] (INFO) Batch estaciones: 172
[22:56:23] (INFO) Batch colocacion: 423
[22:56:24] (INFO) Iniciando entrenamiento
[22:56:24] (INFO) Curriculum fase 1: solo datos (epocas 0--1)
[22:56:28] (INFO) Cambio de LR: 0.0e+00 -> 1.0e-04
[23:24:11] (INFO) | Epoca:  380 | Loss: 1.136e+00 | LR: 3.2e-05 | Lambda: 3.00 |
[23:24:55] (INFO) | Epoca:  390 | Loss: 1.123e+00 | LR: 3.2e-05 | Lambda: 3.00 |
[23:25:39] (INFO) | Epoca:  400 | Loss: 1.113e+00 | LR: 3.2e-05 | Lambda: 3.00 |
[23:26:23] (INFO) | Epoca:  410 | Loss: 1.102e+00 | LR: 3.2e-05 | Lambda: 3.00 |
[23:27:07] (INFO) | Epoca:  420 | Loss: 1.092e+00 | LR: 3.2e-05 | Lambda: 3.00 |
[23:27:51] (INFO) | Epoca:  430 | Loss: 1.079e+00 | LR: 3.2e-05 | Lambda: 3.00 |
[23:28:35] (INFO) | Epoca:  440 | Loss: 1.080e+00 | LR: 3.2e-05 | Lambda: 3.00 |
[23:29:19] (INFO) | Epoca:  450 | Loss: 1.076e+00 | LR: 3.2e-05 | Lambda: 3.00 |
[23:30:02] (INFO) | Epoca:  460 | Loss: 1.060e+00 | LR: 3.2e-05 | Lambda: 3.00 |
[23:30:46] (INFO) | Epoca:  470 | Loss: 1.044e+00 | LR: 3.2e-05 | Lambda: 3.00 |
[23:31:30] (INFO) | Epoca:  480 | Loss: 1.048e+00 | LR: 3.2e-05 | Lambda: 3.00 |
[23:32:14] (INFO) | Epoca:  490 | Loss: 1.045e+00 | LR: 3.2e-05 | Lambda: 3.00 |
[23:32:53] (INFO) Checkpoint guardado: PINN_caribe_excl_4est_R04_bg_epoca_500.pth
[23:32:53] (INFO) Historial guardado: historial_PINN_caribe_excl_4est_R04_bg.mat
[23:32:53] (INFO) Epoca 500 con loss 1.04e+00
